episode,film,character,line
5,The Empire Strikes Back,LANDO,"Stop! I've done all I can do. I'm sorry I couldn't do better,  but I have my own problems."
5,The Empire Strikes Back,LANDO,"That was never a condition of our agreement, nor was giving Han  to this bounty hunter!"
5,The Empire Strikes Back,VADER,Perhaps you think you're being treated unfairly.
5,The Empire Strikes Back,LANDO,No.
5,The Empire Strikes Back,VADER,Good. It would be unfortunate if I had to leave a garrison  here.
5,The Empire Strikes Back,LANDO,This deal's getting worse all the time.
5,The Empire Strikes Back,THREEPIO,"Oh, yes, that's very good. I like that. Oh! Something's not  right because now I can't see. Wait. Wait! Oh, my! what have you done? I'm backwards, you stupid furball. Only an overgrown mophead like you would be stupid enough..."
5,The Empire Strikes Back,HAN,I feel terrible.
5,The Empire Strikes Back,LEIA,Why are they doing this?
5,The Empire Strikes Back,HAN,They never even asked me any questions.
5,The Empire Strikes Back,LEIA,Lando.
5,The Empire Strikes Back,HAN,"Get out of here, Lando!"
5,The Empire Strikes Back,LANDO,Shut up and listen! Vader has agreed to turn Leia and Chewie  over to me.
5,The Empire Strikes Back,HAN,Over to you?
5,The Empire Strikes Back,LANDO,"They'll have to stay here, but at least they'll be safe."
5,The Empire Strikes Back,LEIA,What about Han?
5,The Empire Strikes Back,LANDO,Vader's giving him to the bounty hunter.
5,The Empire Strikes Back,LEIA,Vader wants us all dead.
5,The Empire Strikes Back,LANDO,He doesn't want you at all. He's after somebody called  Skywalker.
5,The Empire Strikes Back,HAN,Luke?
5,The Empire Strikes Back,LANDO,Lord Vader has set a trap for him.
5,The Empire Strikes Back,LEIA,And we're the bait.
5,The Empire Strikes Back,LANDO,"Well, he's on his way."
5,The Empire Strikes Back,HAN,"Perfect. You fixed us all pretty good, didn't you?   My friend!"
5,The Empire Strikes Back,LANDO,"Lord Vader, what about Leia and the Wookiee?"
5,The Empire Strikes Back,EMPEROR,He could destroy us.
5,The Empire Strikes Back,THREEPIO,"Well, uh, you see..."
5,The Empire Strikes Back,EMPEROR,We have a new enemy -- Luke Skywalker.
5,The Empire Strikes Back,HAN,It's a good bet the Empire knows we're here.
5,The Empire Strikes Back,RIEEKAN,We'd better start the evacuation.
5,The Empire Strikes Back,PIETT,Admiral.
5,The Empire Strikes Back,OZZEL,"Yes, Captain"
5,The Empire Strikes Back,PIETT,"I think we've got something, sir. The report is only a fragment  had."
5,The Empire Strikes Back,OZZEL,"We have thousands of probe droids searching the  galaxy. I want proof, not leads!"
5,The Empire Strikes Back,PIETT,The visuals indicate life readings.
5,The Empire Strikes Back,OZZEL,It could mean anything. If we followed every lead...
5,The Empire Strikes Back,PIETT,"But, sir, the Hoth system is supposed to be devoid of human  forms."
5,The Empire Strikes Back,VADER,You found something?
5,The Empire Strikes Back,LEIA,An Imperial probe droid.
5,The Empire Strikes Back,PIETT,"Yes, my lord."
5,The Empire Strikes Back,OZZEL,"My lord, there are so many uncharted settlements. It could be  smugglers, it could be..."
5,The Empire Strikes Back,VADER,"That is the system. And I'm sure Skywalker is with them. Set  your course for the Hoth system. General Veers, prepare you men."
5,The Empire Strikes Back,REBEL CAPTAIN,"Groups seven and ten will stay behind to fly the  speeders. As soon as each transport is loaded, evacuation control will give clearance for immediate launch."
5,The Empire Strikes Back,REBEL FIGHTER,"Right, sir."
5,The Empire Strikes Back,HAN,"Okay, that's it. Try it...Off! Turn it  off! Turn it off! Off!"
5,The Empire Strikes Back,MEDICAL DROID,"Sir, it will take quite awhile to evacuate the T-forty-  sevens."
5,The Empire Strikes Back,LUKE,"Well, forget the heavy equipment. There's plenty of time to get  the smaller modules on the transports."
5,The Empire Strikes Back,MEDICAL DROID,"Take care, sir."
5,The Empire Strikes Back,LUKE,Thanks.
5,The Empire Strikes Back,LUKE,"Chewie, take care of yourself, okay?"
5,The Empire Strikes Back,VADER,That's it. The  Rebels are there.
5,The Empire Strikes Back,HAN,"Hi, kid.  There's got to be a reason for it. Check it  at the other end. Wait a second.  You all right?"
5,The Empire Strikes Back,HAN,Droid of some kind. I didn't hit it that hard. It  must have had a self-destruct.
5,The Empire Strikes Back,HAN,Afraid there's not much left.
5,The Empire Strikes Back,HAN,"That's two you owe me, junior."
5,The Empire Strikes Back,HAN,"Well your Worship, looks like you managed to keep me around for a  little while longer."
5,The Empire Strikes Back,LEIA,I had nothing to do with it. General Rieekan thinks  it's dangerous for any ships to leave the system until we've activated the energy shield.
5,The Empire Strikes Back,HAN,That's a good story. I think you just can't bear to let a  gorgeous guy like me out of your sight.
5,The Empire Strikes Back,LEIA,"I don't know where you get you delusions, laser brain."
5,The Empire Strikes Back,HAN,"Laugh it up, fuzz ball. But you didn't see us alone in the south  passage."
5,The Empire Strikes Back,HAN,She expressed her true feelings for me.
5,The Empire Strikes Back,LEIA,"My...! Why, you stuck up,...half-witted,...scruffy-looking...  nerf-herder!"
5,The Empire Strikes Back,HAN,"Who's scruffy-looking?  I must have hit her pretty close  to the mark to get her all riled up like that, huh, kid?"
5,The Empire Strikes Back,LEIA,"Why, I guess you don't know everything about women yet?"
5,The Empire Strikes Back,LEIA,What was it?
5,The Empire Strikes Back,ANNOUNCER,"Headquarters personnel, report to command  center."
5,The Empire Strikes Back,THREEPIO,"Excuse us, please."
5,The Empire Strikes Back,RIEEKAN,Princess...we have a visitor.
5,The Empire Strikes Back,RIEEKAN,"We've picked up something outside the base in zone twelve,  moving east."
5,The Empire Strikes Back,SENIOR CONTROLLER,It's metal.
5,The Empire Strikes Back,LEIA,Then it couldn't be one of those creatures that attacked Luke.
5,The Empire Strikes Back,HAN,"It could be a speeder, one of ours."
5,The Empire Strikes Back,SENIOR CONTROLLER,No. Wait -- there's something very weak coming  through.
5,The Empire Strikes Back,THREEPIO,"Sir, I am fluent in six million forms of communication. This  signal is not used by the Alliance. It could be an Imperial code."
5,The Empire Strikes Back,HAN,"It isn't friendly, whatever it is. Come on, Chewie, let's check  it out."
5,The Empire Strikes Back,RIEEKAN,Send Rouges Ten and Eleven to station three-eight.
5,The Empire Strikes Back,HAN,Take it easy.
5,The Empire Strikes Back,LUKE,Yeah.
5,The Empire Strikes Back,HAN,Be careful.
5,The Empire Strikes Back,LUKE,"You, too."
5,The Empire Strikes Back,LUKE,I know what you mean.
5,The Empire Strikes Back,TRENCH OFFICER,Echo Station Three-T-Eight.
5,The Empire Strikes Back,TRENCH OFFICER,We have spotted Imperial walkers!
5,The Empire Strikes Back,CONTROLLER,Imperial walkers on the north ridge.
5,The Empire Strikes Back,LUKE,Echo station Five-Seven. We're on our way.
5,The Empire Strikes Back,LUKE,"All right, boys, keep tight now."
5,The Empire Strikes Back,DACK,"Luke, I have no approach vector. I'm not set."
5,The Empire Strikes Back,LUKE,"Steady, Dack. Attack pattern delta. Go now!"
5,The Empire Strikes Back,LUKE,"All right, I'm coming in."
5,The Empire Strikes Back,LUKE,"Hobbie, you still with me?"
5,The Empire Strikes Back,DACK,Right now I feel I could take on the whole Empire myself.
5,The Empire Strikes Back,LUKE,That armor's too strong for blasters.
5,The Empire Strikes Back,DACK,"Luke, we've got a malfunction in fire control. I'll have to cut  in the auxiliary."
5,The Empire Strikes Back,LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable."
5,The Empire Strikes Back,LUKE,Dack? Dack!
5,The Empire Strikes Back,VEERS,"Yes, Lord Vader. I've reached the main power generator. The  shield will be down in moments. You may start your landing."
5,The Empire Strikes Back,LUKE,Rouge Three.
5,The Empire Strikes Back,WEDGE,"Copy, Rouge Leader"
5,The Empire Strikes Back,LUKE,"Wedge, I've lost my gunner. You'll have to make  this shot. I'll cover for you. Set your harpoon. Follow me on the next pass."
5,The Empire Strikes Back,WEDGE,"Coming around, Rouge Leader."
5,The Empire Strikes Back,LUKE,"Steady, Rouge Two"
5,The Empire Strikes Back,WEDGE,Activate harpoon.
5,The Empire Strikes Back,LUKE,"Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack."
5,The Empire Strikes Back,LUKE,"Just like new, Dack. How about you?"
5,The Empire Strikes Back,DACK,"Feeling all right, sir?"
5,The Empire Strikes Back,ANNOUNCER,The first transport is away.
5,The Empire Strikes Back,CONTROLLER,"General, there's a fleet of Star Destroyers coming out of  hyperspace in sector four."
5,The Empire Strikes Back,RIEEKAN,Reroute all power to the energy shield. We've got to hold  them till all transports are away. Prepare for ground assault.
5,The Empire Strikes Back,VADER,"What is it, General?"
5,The Empire Strikes Back,VEERS,"My lord, the fleet has moves out of light-speed. Com-Scan has  detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment."
5,The Empire Strikes Back,VADER,The Rebels are alerted to our presence. Admiral Ozzel  came out of light-speed too close to the system.
5,The Empire Strikes Back,VEERS,He felt surprise was wiser...
5,The Empire Strikes Back,VADER,"He is as clumsy as he is stupid. General, prepare your troops  for a surface attack."
5,The Empire Strikes Back,VEERS,"Yes, my lord."
5,The Empire Strikes Back,OZZEL,"Lord Vader, the fleet has moved out of light-speed, and we're  preparing to...Aaagh!"
5,The Empire Strikes Back,VADER,"You have failed me for the last time, Admiral. Captain Piett."
5,The Empire Strikes Back,PIETT,"Yes, my lord."
5,The Empire Strikes Back,VADER,"Make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett."
5,The Empire Strikes Back,PIETT,"Thank you, Lord Vader."
5,The Empire Strikes Back,LEIA,"All troop carriers will assemble at the north entrance. The  heavy transport ships will leave as soon as they're loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so you'll have to stay very close to your transports."
5,The Empire Strikes Back,HOBBIE,Two fighters against a Star Destroyer?
5,The Empire Strikes Back,LEIA,"The ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path. When you've gotten past the energy shield, proceed directly to the rendezvous point. Understood?"
5,The Empire Strikes Back,PILOTS,Right. Okay.
5,The Empire Strikes Back,LEIA,Good luck.
5,The Empire Strikes Back,DERLIN,Okay. Everyone to your stations. Let's go!
5,The Empire Strikes Back,RIEEKAN,Their primary target will be the power generators. Prepare to  open the shield.
5,The Empire Strikes Back,CONTROLLER,"Sir, Rebel ships are coming into our sector."
5,The Empire Strikes Back,CAPTAIN,Good. Our first catch of the day.
5,The Empire Strikes Back,WOMAN CONTROLLER,"Stand by, ion control....Fire!"
5,The Empire Strikes Back,LUKE,Thanks to you.
5,The Empire Strikes Back,WEDGE,"Good shot, Janson."
5,The Empire Strikes Back,HAN,"How are you feeling, kid? You don't look so bad to me. In fact,  you look strong enough to pull the ears off a Gundark."
5,The Empire Strikes Back,THREEPIO,"Master Luke, sir, it's good to see you fully functional  again."
5,The Empire Strikes Back,HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my  mind."
5,The Empire Strikes Back,LEIA,"Han, we need you!"
5,The Empire Strikes Back,HAN,We?
5,The Empire Strikes Back,LEIA,Yes.
5,The Empire Strikes Back,HAN,"Oh, what about you need?"
5,The Empire Strikes Back,LEIA,I need? I don't know what you're talking about.
5,The Empire Strikes Back,HAN,You probably don't.
5,The Empire Strikes Back,LEIA,And what precisely am I supposed to know?
5,The Empire Strikes Back,HAN,Come on! You want me to stay because of the way you feel about  me.
5,The Empire Strikes Back,LEIA,Yes. You're a great help to us. You're a natural leader...
5,The Empire Strikes Back,LEIA,I thought you decided to stay.
5,The Empire Strikes Back,HAN,No! That's not it. Come on. Aahhh -- uh huh! Come on.
5,The Empire Strikes Back,HAN,Am I? Then why are you following me? Afraid I was going to leave  without giving you a goodbye kiss?
5,The Empire Strikes Back,LEIA,I'd just as soon kiss a Wookiee.
5,The Empire Strikes Back,HAN,I can arrange that. You could use a good kiss!
5,The Empire Strikes Back,THREEPIO,"Oh, switch off."
5,The Empire Strikes Back,HAN,Why do you take this apart now? I'm trying to get us  out of here and you pull both of these.
5,The Empire Strikes Back,THREEPIO,"Excuse me, sir."
5,The Empire Strikes Back,HAN,Put them back together right now.
5,The Empire Strikes Back,THREEPIO,"Might I have a word with you, please?"
5,The Empire Strikes Back,HAN,What do you want?
5,The Empire Strikes Back,THREEPIO,"Well, it's Princess Leia, sir. She's been trying to get you  on the communicator."
5,The Empire Strikes Back,LEIA,You're imagining things.
5,The Empire Strikes Back,HAN,I turned it off. I don't want to talk to her.
5,The Empire Strikes Back,HAN,"Yes, Your Highnessness?"
5,The Empire Strikes Back,HAN,"Well, don't get all mushy on me. So long, Princess."
5,The Empire Strikes Back,VADER,"Yes, my master."
5,The Empire Strikes Back,LUKE,"Echo Three to Echo Seven. Han, old buddy, do you  read me?"
5,The Empire Strikes Back,HAN,"Loud and clear, kid. What's up?"
5,The Empire Strikes Back,LUKE,"Well, I finished my circle. I don't pick up any  life readings."
5,The Empire Strikes Back,HAN,There isn't enough life on this ice cube to fill a  space cruiser. The sensors are placed. I'm going back.
5,The Empire Strikes Back,LUKE,Right. I'll see you shortly. There's a meteorite  that hit the ground near here. I want to check it out. It won't take long.
5,The Empire Strikes Back,LUKE,"Hey, steady girl. What's the matter? You smell something?"
5,The Empire Strikes Back,LUKE,Aaargh!
5,The Empire Strikes Back,HAN,Chewie!
5,The Empire Strikes Back,HAN,"All right, don't lose your temper. I'll come right back and give  you a hand."
5,The Empire Strikes Back,LEIA,Han!
5,The Empire Strikes Back,RIEEKAN,Solo?
5,The Empire Strikes Back,RIEEKAN,Commander Skywalker reported in yet?
5,The Empire Strikes Back,HAN,No. He's checking out a meteorite that hit near him.
5,The Empire Strikes Back,RIEEKAN,"With all the meteor activity in this  system, it's going to be difficult to spot approaching ships."
5,The Empire Strikes Back,HAN,"General, I've got to leave. I can't stay anymore."
5,The Empire Strikes Back,RIEEKAN,I'm sorry to hear that.
5,The Empire Strikes Back,HAN,"Well, there's a price on my head. If I don't pay off Jabba the  Hut, I'm a dead man."
5,The Empire Strikes Back,RIEEKAN,"A death mark's not an easy thing to live with. You're a good  fighter, Solo. I hate to lose you."
5,The Empire Strikes Back,HAN,"Thank you, General."
5,The Empire Strikes Back,HAN,"Well, Your Highness, I guess this is it."
5,The Empire Strikes Back,LEIA,That's right.
5,The Empire Strikes Back,HAN,"No sign of life out there, General. The sensors are in place.  You'll know if anything comes around."
5,The Empire Strikes Back,THREEPIO,"Oh. Well, Princess Leia is wondering about Master Luke. He  hasn't come back yet. She doesn't know where he is."
5,The Empire Strikes Back,HAN,I don't know where he is.
5,The Empire Strikes Back,THREEPIO,Nobody knows where he is.
5,The Empire Strikes Back,THREEPIO,Artoo says the chances of survival are seven hundred  seventy-five...to one.
5,The Empire Strikes Back,THREEPIO,"Actually, Artoo has been known to make mistakes...from time  to time. Oh, dear, oh, dear. Don't worry about Master Luke. I'm sure he'll be all right. He's quite clever, you know...for a human being."
5,The Empire Strikes Back,BEN,Luke...Luke.
5,The Empire Strikes Back,LUKE,Ben?
5,The Empire Strikes Back,BEN,You will go to the Dagobah system.
5,The Empire Strikes Back,LUKE,Dagobah system?
5,The Empire Strikes Back,BEN,"There you will learn from Yoda, the Jedi Master who instructed  me."
5,The Empire Strikes Back,LUKE,Ben...Ben.
5,The Empire Strikes Back,HAN,"Luke! Luke! Don't do this, Luke. Come on, give me a sign here."
5,The Empire Strikes Back,HAN,Not much time.
5,The Empire Strikes Back,LIEUTENANT,"Yes, sir."
5,The Empire Strikes Back,LUKE,Ben...Ben...
5,The Empire Strikes Back,LUKE,Dagobah system...
5,The Empire Strikes Back,HAN,Whew...
5,The Empire Strikes Back,LUKE,Dagobah...
5,The Empire Strikes Back,HAN,"This may smell bad, kid..."
5,The Empire Strikes Back,LUKE,Yoda...
5,The Empire Strikes Back,HAN,...but it will keep you warm...til I get the shelter built.   Ooh...I thought they smelled bad on the outside!
5,The Empire Strikes Back,ZEV,"Echo Base...I've got something! Not much, but  it could be a life form."
5,The Empire Strikes Back,ZEV,"This is Rouge Two. this is Rouge Two. Captain  Solo, so you copy? Commander Skywalker, do you copy? This is Rouge Two."
5,The Empire Strikes Back,HAN,Good morning. Nice of you guys to  drop by.
5,The Empire Strikes Back,ZEV,"Echo Base...this is Rouge Two. I found  them. Repeat, I found them."
5,The Empire Strikes Back,HAN,"Hang on, kid."
5,The Empire Strikes Back,DERLIN,Close the doors.
5,The Empire Strikes Back,DERLIN,"Your Highness, there's nothing more we can do tonight. The  shield doors must be closed."
5,The Empire Strikes Back,THREEPIO,"Mistress Leia, Artoo says he's been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope."
5,The Empire Strikes Back,HAN,"What do you mean, \""nobody knows\""?"
5,The Empire Strikes Back,HAN,Deck Officer. Deck Officer!
5,The Empire Strikes Back,THREEPIO,"Excuse me, sir. Might I inqu-..."
5,The Empire Strikes Back,DECK OFFICER,"Yes, sir?"
5,The Empire Strikes Back,HAN,Do you know where Commander Skywalker is?
5,The Empire Strikes Back,DECK OFFICER,I haven't seen him. It's possible he came in through the  south entrance.
5,The Empire Strikes Back,HAN,It's possible? Why don't you go find out? It's getting dark out  there.
5,The Empire Strikes Back,DECK OFFICER,"Yes, sir."
5,The Empire Strikes Back,THREEPIO,"Excuse me, sir. Might I inquire what's going on?"
5,The Empire Strikes Back,HAN,Why not?
5,The Empire Strikes Back,THREEPIO,"Impossible man. Come along, Artoo, lets find Princess Leia.  Between ourselves, I think Master Luke is in considerable danger."
5,The Empire Strikes Back,DECK OFFICER,"Sir, Commander Skywalker hasn't come in through the  south entrance. He might have forgotten to check in."
5,The Empire Strikes Back,HAN,Not likely. Are the speeders ready?
5,The Empire Strikes Back,DECK OFFICER,Not yet. We're having some trouble adapting them to the  cold.
5,The Empire Strikes Back,HAN,Then we'll have to go out on Tauntauns.
5,The Empire Strikes Back,DECK OFFICER,"Sir, the temperature's dropping too rapidly."
5,The Empire Strikes Back,HAN,That's right. And my friends out in it.
5,The Empire Strikes Back,ASSISTANT OFFICER,I'll cover sector twelve. Have com-control set  screen alpha.
5,The Empire Strikes Back,DECK OFFICER,Your Tauntaun'll freeze before you reach the first  marker.
5,The Empire Strikes Back,HAN,Then I'll see you in hell!
5,The Empire Strikes Back,THREEPIO,"You must come along now, Artoo. There's really nothing more  we can do. And my joints are freezing up."
5,The Empire Strikes Back,THREEPIO,"Don't say thing like that! Of course we'll see Master Luke  again. He'll be quite all right, you'll see.  Stupid little short-circuit. He'll be quite all right."
5,The Empire Strikes Back,LIEUTENANT,"Sir, all the patrols are in. There's still no contact from  Skywalker or Solo."
5,The Empire Strikes Back,THREEPIO,"Artoo expresses his relief, also."
5,The Empire Strikes Back,WEDGE,One more pass.
5,The Empire Strikes Back,THREEPIO,Don't try to blame me. I didn't ask you to turn on the  thermal heater. I merely commented that it was freezing in the princess's chamber. But it's supposed to be freezing. How are we going to dry out all her clothes? I really don't know.
5,The Empire Strikes Back,JANSON,One more.
5,The Empire Strikes Back,LEIA,"Let go, please."
5,The Empire Strikes Back,HAN,Don't get excited.
5,The Empire Strikes Back,LEIA,"Captain, being held by you isn't quite enough to get me excited."
5,The Empire Strikes Back,HAN,"Sorry, sweetheart. We haven't got time for anything else."
5,The Empire Strikes Back,LUKE,Ready for some power? Okay. Let's see now. Put that in there.  There you go.
5,The Empire Strikes Back,LUKE,Now all I have to do is find this Yoda...if he even  exists.
5,The Empire Strikes Back,LUKE,Still...there's something familiar about this place. I feel  like...I don't know...
5,The Empire Strikes Back,STRANGE VOICE,Feel like what?
5,The Empire Strikes Back,LUKE,Like we're being watched!
5,The Empire Strikes Back,CREATURE,Away with your weapon! I mean you no harm.
5,The Empire Strikes Back,HAN,Sshh!
5,The Empire Strikes Back,CREATURE,"I am wondering, why are you here?"
5,The Empire Strikes Back,CREATURE,"Looking? Found someone, you have, I would say, hmmm?"
5,The Empire Strikes Back,LUKE,Right.
5,The Empire Strikes Back,CREATURE,"Help you I can. Yes, mmmm."
5,The Empire Strikes Back,LUKE,I don't think so. I'm looking for a great warrior.
5,The Empire Strikes Back,CREATURE,Ahhh! A great warrior.  Wars not  make one great.
5,The Empire Strikes Back,LUKE,Put that down. Hey! That's my dinner.
5,The Empire Strikes Back,CREATURE,"How you get so big, eating food of this kind?"
5,The Empire Strikes Back,LUKE,"Listen, friend, we didn't mean to land in that puddle, and if we  could get our ship out, we would, but we can't, so why don't you just..."
5,The Empire Strikes Back,CREATURE,"Aww, cannot get your ship out?"
5,The Empire Strikes Back,LUKE,"Hey, you could have broken this. Don't do that. Ohhh...you're  making a mess. Hey, give me that!"
5,The Empire Strikes Back,LUKE,I'm looking for someone.
5,The Empire Strikes Back,CREATURE,Mine! Or I will help you not.
5,The Empire Strikes Back,LEIA,Let go.
5,The Empire Strikes Back,HAN,"Not entirely stable? I'm glad you're here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive."
5,The Empire Strikes Back,LEIA,I hope you know what you're doing.
5,The Empire Strikes Back,HAN,"Yeah, me too."
5,The Empire Strikes Back,LUKE,"Yes, that's it. Dagobah."
5,The Empire Strikes Back,LUKE,"No, I'm not going to change my mind about this.   I'm not picking up any cities or technology. Massive life-form readings, though. There's something alive down there..."
5,The Empire Strikes Back,LUKE,"Yes, I'm sure it's perfectly safe for droids."
5,The Empire Strikes Back,LUKE,"I know, I know! All the scopes are dead. I can't  see a thing! Just hang on, I'm going to start the landing cycle..."
5,The Empire Strikes Back,LUKE,"No, Artoo, you stay put. I'll have a look around."
5,The Empire Strikes Back,LUKE,Artoo?
5,The Empire Strikes Back,LUKE,Artoo! Where are you?
5,The Empire Strikes Back,LUKE,Artoo! You be more careful.
5,The Empire Strikes Back,THREEPIO,"Oh! Sometimes I just don't understand human behavior. After  all, I'm only trying to do my job in the most..."
5,The Empire Strikes Back,LUKE,Artoo -- that way!
5,The Empire Strikes Back,LUKE,"Oh, no! Are you all right? Come on. You're lucky you don't taste  very good. Anything broken?"
5,The Empire Strikes Back,LUKE,"If you're saying coming here was a bad idea, I'm beginning to  agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy."
5,The Empire Strikes Back,VADER,"Yes, Admiral?"
5,The Empire Strikes Back,PIETT,"Our ships have sighted the Millennium Falcon, lord. But...it  has entered an asteroid field and we cannot risk..."
5,The Empire Strikes Back,VADER,"Asteroids do not concern me, Admiral. I want  that ship and not excuses."
5,The Empire Strikes Back,PIETT,"Yes, lord."
5,The Empire Strikes Back,HAN,I'm going to shut down everything but the emergency power  systems.
5,The Empire Strikes Back,THREEPIO,"Sir, I'm almost afraid to ask, but...does that include  shutting me down, too?"
5,The Empire Strikes Back,HAN,"No, I need you to talk to the Falcon, find out what's wrong with  the hyperdrive."
5,The Empire Strikes Back,THREEPIO,"Sir, it's quite possible this asteroid is not entirely  stable."
5,The Empire Strikes Back,LUKE,Artoo!
5,The Empire Strikes Back,LUKE,I don't want your help. I want my lamp back. I'll need it to get  out of this slimy mudhole.
5,The Empire Strikes Back,CREATURE,Mudhole? Slimy? My home this is.
5,The Empire Strikes Back,CREATURE,"Ah, ah, ah!"
5,The Empire Strikes Back,HAN,"My hands are dirty, too. What are you afraid of?"
5,The Empire Strikes Back,LEIA,Afraid?
5,The Empire Strikes Back,HAN,You're trembling.
5,The Empire Strikes Back,LEIA,I'm not trembling.
5,The Empire Strikes Back,HAN,You like me because I'm a scoundrel. There aren't enough  scoundrels in your life.
5,The Empire Strikes Back,LEIA,I happen to like nice men.
5,The Empire Strikes Back,HAN,I'm a nice man.
5,The Empire Strikes Back,LEIA,"No, you're not. You're..."
5,The Empire Strikes Back,THREEPIO,"Sir, sir! I've isolated the reverse power flux coupling."
5,The Empire Strikes Back,HAN,Thank you. Thank you very much.
5,The Empire Strikes Back,HAN,Stop what?
5,The Empire Strikes Back,THREEPIO,"Oh, you're perfectly welcome, sir."
5,The Empire Strikes Back,VADER,"No, Captain, they're alive. I want every ship available to  sweep the asteroid field until they are found."
5,The Empire Strikes Back,PIETT,Lord Vader.
5,The Empire Strikes Back,VADER,"Yes, Admiral, what is it?"
5,The Empire Strikes Back,PIETT,The Emperor commands you make contact with him.
5,The Empire Strikes Back,VADER,Move the ship out of the asteroid field so that we can send a  clear transmission.
5,The Empire Strikes Back,PIETT,"Yes, my lord."
5,The Empire Strikes Back,VADER,"What is thy bidding, my master?"
5,The Empire Strikes Back,EMPEROR,There is a great disturbance in the Force.
5,The Empire Strikes Back,JANSON,Coming around. Once more.
5,The Empire Strikes Back,VADER,I have felt it.
5,The Empire Strikes Back,NEEDA,"...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage we've sustained, they must have been destroyed."
5,The Empire Strikes Back,LEIA,Stop that.
5,The Empire Strikes Back,HAN,Scoundrel? Scoundrel? I like the sound of that.
5,The Empire Strikes Back,LEIA,Occasionally  maybe...when you aren't  acting like a scoundrel.
5,The Empire Strikes Back,LUKE,"Oh, Artoo, let him have it."
5,The Empire Strikes Back,CREATURE,Mine! Mine!
5,The Empire Strikes Back,LUKE,Artoo!
5,The Empire Strikes Back,CREATURE,Mine!
5,The Empire Strikes Back,CREATURE,Mine!
5,The Empire Strikes Back,LUKE,"Now will you move along, little fella? We're got a lot  of work to do."
5,The Empire Strikes Back,CREATURE,"No! No, no! Stay and help you, I will.  Find your  friend, hmm?"
5,The Empire Strikes Back,LUKE,"I'm not looking for a friend, I'm looking for a Jedi Master."
5,The Empire Strikes Back,CREATURE,Oohhh. Jedi Master. Yoda. You seek Yoda.
5,The Empire Strikes Back,LUKE,You know him?
5,The Empire Strikes Back,CREATURE,"Mmm. Take you to him, I will.  Yes, yes. But now, we  must eat. Come. Good food. Come."
5,The Empire Strikes Back,CREATURE,"Come, come."
5,The Empire Strikes Back,LUKE,"Stay here and watch after the camp, Artoo."
5,The Empire Strikes Back,THREEPIO,"Oh, where is Artoo when I need him?"
5,The Empire Strikes Back,THREEPIO,"Sir, I don't know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I'm afraid you'll have to replace it."
5,The Empire Strikes Back,HAN,"Well, of course I'll have to replace it."
5,The Empire Strikes Back,HAN,Here! And Chewie...
5,The Empire Strikes Back,HAN,...I think we'd better replace the negative power  coupling.
5,The Empire Strikes Back,HAN,"Hey, Your Worship, I'm only trying to help."
5,The Empire Strikes Back,LEIA,Would you please stop calling me that?
5,The Empire Strikes Back,HAN,"Sure, Leia."
5,The Empire Strikes Back,LEIA,"Oh, you make it so difficult sometimes."
5,The Empire Strikes Back,HAN,"I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think I'm all right."
5,The Empire Strikes Back,THREEPIO,"Excuse me, ma'am, but where are we going?"
5,The Empire Strikes Back,HAN,Yeah. That'll do nicely.
5,The Empire Strikes Back,LEIA,Stop that! My hands are dirty.
5,The Empire Strikes Back,HAN,There. That looks pretty good.
5,The Empire Strikes Back,LEIA,Send all troops in sector twelve to the south  slope to protect the fighters.
5,The Empire Strikes Back,ANNOUNCER,Imperial troops have entered the base.
5,The Empire Strikes Back,HAN,Come on...that's it.
5,The Empire Strikes Back,LEIA,Give the evacuation code signal. And get to  your transports!
5,The Empire Strikes Back,HEAD CONTROLLER,K-one-zero...all troops disengage.
5,The Empire Strikes Back,THREEPIO,Oh! Wait for me!
5,The Empire Strikes Back,OFFICER,Begin retreat!
5,The Empire Strikes Back,SECOND OFFICER,Fall back!
5,The Empire Strikes Back,VEERS,Distance to power generators?
5,The Empire Strikes Back,PILOT,"One-seven, decimal two-eight."
5,The Empire Strikes Back,THREEPIO,"Your Highness, we must take this last transport. It's our  only hope."
5,The Empire Strikes Back,VEERS,Target. Maximum fire power.
5,The Empire Strikes Back,THREEPIO,But...but...but...where are you going? Uh...come back!!
5,The Empire Strikes Back,THREEPIO,Wait! Wait for me! Wait! Stop!
5,The Empire Strikes Back,THREEPIO,How typical.
5,The Empire Strikes Back,HAN,Come on.
